Iteration,Total_Energy_Hartree
1,-5757.423957285978
2,-5757.739906486419
3,-5758.029674143966
4,-5758.425143176562
5,-5758.912816512707
6,-5759.2625313237095
7,-5759.447139504816
8,-5759.524405475687
9,-5759.594831474444
10,-5759.645708896585
11,-5759.692644795955
12,-5759.717225621455
13,-5759.747031337102
14,-5759.768587136611
15,-5759.782937319048
16,-5759.792282481197
17,-5759.798484367997
18,-5759.8035093712715
19,-5759.805693862564
20,-5759.807896258979
21,-5759.808824480447
22,-5759.813910089418
23,-5759.815698242374
24,-5759.8185567305245
25,-5759.818861139714
26,-5759.822376718711
27,-5759.824258676341
28,-5759.825592230071
29,-5759.825875803629
30,-5759.826148532698
31,-5759.827555338927
32,-5759.827363018922
33,-5759.827822213999
34,-5759.828079168106
35,-5759.828313902568
36,-5759.828276588236
37,-5759.828254095263
38,-5759.82863800437
39,-5759.828908668627
40,-5759.829159462762
41,-5759.829743579985
42,-5759.830177836606
43,-5759.830868172181
44,-5759.830599272049
45,-5759.831592271553
46,-5759.831208448416
47,-5759.832425883908
48,-5759.831731664432
49,-5759.832634013317
50,-5759.832609826526
51,-5759.832892539409
52,-5759.8329756839
53,-5759.832887579432
54,-5759.833246896314
55,-5759.832959028234
56,-5759.832661152301
57,-5759.832390917342
58,-5759.832657190702
59,-5759.831596024119
60,-5759.832223622028
61,-5759.831765432272
62,-5759.832062417214
63,-5759.831387046651
64,-5759.83168356389
65,-5759.831819192621
66,-5759.831541116097
67,-5759.831417882333
68,-5759.831422322992
69,-5759.831426923
70,-5759.8312812865215
71,-5759.831210495216
72,-5759.831183219779
73,-5759.831053085602
74,-5759.830984395924
75,-5759.830947461383
76,-5759.830789982994
77,-5759.830637063942
78,-5759.830577593893
79,-5759.830631285168
80,-5759.8305437347135
81,-5759.830489496235
82,-5759.830469311023
83,-5759.830491140354
84,-5759.830459713121
85,-5759.830380793557
