epoch,train_loss,train_energy_mae,train_dipole_mae,val_energy_mae,val_dipole_mae
1,291120803.635593,9395.943937,18319.583666,87.843058,2970.633952
2,7651458.262712,2375.556148,3697.707040,1030.807373,3665.191488
3,4171156.603814,1671.299497,2565.263142,677.911621,1134.987264
4,2191253.732521,1173.335274,973.308814,1179.018107,1225.869995
5,1161927.412076,914.622699,1067.400800,1809.431152,5.516200
6,1626168.483051,1084.360997,709.774610,888.196533,76.893054
7,533803.635064,609.744612,655.240259,126.822388,589.690959
8,536383.431210,525.649625,700.763404,466.562866,480.994191
9,351308.847458,453.144929,483.128142,468.540283,13.317715
10,363467.853019,497.381976,520.969374,212.013224,111.067884
11,221735.310646,378.017048,573.846394,173.051758,0.649634
12,302972.325212,442.235045,529.688455,463.560954,81.847234
13,368704.649894,498.887413,479.969351,34.396159,290.022949
14,420610.939354,521.462693,606.963085,250.462484,271.966919
15,379171.377516,510.153569,512.881056,72.175334,280.564677
